date,tier,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
2024-02-15,tier_1_top_1pct,1,1,18360.0,18360.0,0.0,18360.0
2024-02-15,tier_2_top_5pct,2,1,29940.0,29940.0,0.0,29940.0
2024-02-15,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-15,tier_4_observed_baseline,3,1,52652.832,52652.832,0.0,52652.832
2024-02-16,tier_1_top_1pct,5,1,112893.337826,112893.337826,0.0,112893.337826
2024-02-16,tier_2_top_5pct,1,1,14565.0,14565.0,0.0,14565.0
2024-02-16,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-16,tier_4_observed_baseline,4,3,73526.20342,73526.20342,0.0,73526.20342
2024-02-17,tier_1_top_1pct,4,2,218225.804748,218225.804748,0.0,218225.804748
2024-02-17,tier_2_top_5pct,2,2,94014.642375,94014.642375,0.0,94014.642375
2024-02-17,tier_3_top_10pct,3,1,52276.7032,52276.7032,0.0,52276.7032
2024-02-17,tier_4_observed_baseline,1,1,14805.0,14805.0,0.0,14805.0
2024-02-18,tier_1_top_1pct,4,3,100859.583106,100859.583106,0.0,100859.583106
2024-02-18,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-18,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-18,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-02-19,tier_1_top_1pct,4,2,79182.366089,79182.366089,0.0,79182.366089
2024-02-19,tier_2_top_5pct,1,1,11268.348,11268.348,0.0,11268.348
2024-02-19,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-19,tier_4_observed_baseline,1,1,13750.0,13750.0,0.0,13750.0
2024-02-20,tier_1_top_1pct,2,2,25873.294,25873.294,0.0,25873.294
2024-02-20,tier_2_top_5pct,2,1,62775.0,62775.0,0.0,62775.0
2024-02-20,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-20,tier_4_observed_baseline,1,1,12111.4783,12111.4783,0.0,12111.4783
2024-02-21,tier_1_top_1pct,1,1,14271.999999,14271.999999,0.0,14271.999999
2024-02-21,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-21,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-21,tier_4_observed_baseline,2,2,32551.770517,32551.770517,0.0,32551.770517
2024-02-22,tier_1_top_1pct,2,2,64852.11052,64852.11052,0.0,64852.11052
2024-02-22,tier_2_top_5pct,1,1,10485.1962,10485.1962,0.0,10485.1962
2024-02-22,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-22,tier_4_observed_baseline,2,2,53060.0,53060.0,0.0,53060.0
2024-02-23,tier_1_top_1pct,6,2,105164.523078,105164.523078,0.0,105164.523078
2024-02-23,tier_2_top_5pct,1,1,19980.0,19980.0,0.0,19980.0
2024-02-23,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-23,tier_4_observed_baseline,7,5,121390.568938,121390.568938,0.0,121390.568938
