observed_at_utc,poll_id,poll_published_at_utc,window_start_utc,window_end_utc,token_id,yes_probability,source_name,source_url
2026-05-04T00:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T01:00:03Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T02:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T03:00:20Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T04:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T05:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T06:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T07:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T08:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T09:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
