window_label,event_id,event_date,date,relative_day,tier,activity_date_available,has_activity,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-19,-9,tier_2_top_5pct,True,True,6,3,156225.5112,156225.5112,0.0,156225.5112
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-19,-9,tier_3_top_10pct,True,True,3,2,36948.7669,36948.7669,0.0,36948.7669
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-19,-9,tier_4_observed_baseline,True,True,3,3,40226.0916,40226.0916,0.0,40226.0916
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-20,-8,tier_1_top_1pct,True,True,16,3,266912.492223,266912.492223,0.0,266912.492223
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-20,-8,tier_2_top_5pct,True,True,2,2,25923.68496,25923.68496,0.0,25923.68496
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-20,-8,tier_3_top_10pct,True,True,1,1,12946.88977,12946.88977,0.0,12946.88977
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-20,-8,tier_4_observed_baseline,True,True,10,9,124490.768094,124490.768094,0.0,124490.768094
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-21,-7,tier_1_top_1pct,True,True,9,2,317515.880734,317515.880734,0.0,317515.880734
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-21,-7,tier_2_top_5pct,True,True,1,1,16456.51,16456.51,0.0,16456.51
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-21,-7,tier_3_top_10pct,True,True,1,1,140896.2336,140896.2336,0.0,140896.2336
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-21,-7,tier_4_observed_baseline,True,True,7,7,219700.490578,219700.490578,0.0,219700.490578
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-22,-6,tier_1_top_1pct,True,True,17,1,800251.861563,800251.861563,0.0,800251.861563
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-22,-6,tier_2_top_5pct,True,True,3,3,38361.9625,38361.9625,0.0,38361.9625
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-22,-6,tier_3_top_10pct,True,True,2,1,31534.05829,31534.05829,0.0,31534.05829
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-22,-6,tier_4_observed_baseline,True,True,10,8,203351.414109,203351.414109,0.0,203351.414109
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-23,-5,tier_1_top_1pct,True,True,4,1,63031.586579,63031.586579,0.0,63031.586579
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-23,-5,tier_2_top_5pct,True,True,2,2,29947.21357,29947.21357,0.0,29947.21357
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-23,-5,tier_3_top_10pct,True,True,1,1,19820.0,19820.0,0.0,19820.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-23,-5,tier_4_observed_baseline,True,True,2,2,26101.1316,26101.1316,0.0,26101.1316
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-24,-4,tier_1_top_1pct,True,True,14,3,307288.885038,307288.885038,0.0,307288.885038
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-24,-4,tier_2_top_5pct,True,True,1,1,15642.0048,15642.0048,0.0,15642.0048
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-24,-4,tier_3_top_10pct,True,True,2,2,32746.30368,32746.30368,0.0,32746.30368
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-24,-4,tier_4_observed_baseline,True,True,1,1,16558.194285,16558.194285,0.0,16558.194285
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-25,-3,tier_1_top_1pct,True,True,29,2,841696.279188,841696.279188,0.0,841696.279188
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-25,-3,tier_2_top_5pct,True,True,6,5,115185.676322,115185.676322,0.0,115185.676322
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-25,-3,tier_3_top_10pct,True,True,1,1,11988.0,11988.0,0.0,11988.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-25,-3,tier_4_observed_baseline,True,True,7,7,129691.081086,129691.081086,0.0,129691.081086
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-26,-2,tier_1_top_1pct,True,True,30,2,1415590.213928,1415590.213928,0.0,1415590.213928
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-26,-2,tier_2_top_5pct,True,True,1,1,14370.0,14370.0,0.0,14370.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-26,-2,tier_3_top_10pct,True,True,1,1,32967.0,32967.0,0.0,32967.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-26,-2,tier_4_observed_baseline,True,True,9,9,123253.081287,123253.081287,0.0,123253.081287
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,tier_1_top_1pct,True,True,24,2,681928.5275140001,681928.5275140001,0.0,681928.5275140001
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,tier_2_top_5pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,tier_3_top_10pct,True,True,1,1,13434.21981,13434.21981,0.0,13434.21981
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,tier_4_observed_baseline,True,True,11,7,158991.787487,158991.787487,0.0,158991.787487
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-28,0,tier_1_top_1pct,True,True,42,4,849040.198486,849040.198486,0.0,849040.198486
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-28,0,tier_2_top_5pct,True,True,8,4,125443.50476,125443.50476,0.0,125443.50476
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-28,0,tier_3_top_10pct,True,True,7,7,113879.537133,113879.537133,0.0,113879.537133
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-28,0,tier_4_observed_baseline,True,True,10,10,134000.99509,134000.99509,0.0,134000.99509
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-06-29,-14,tier_1_top_1pct,True,True,14,2,290778.120585,290778.120585,0.0,290778.120585
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-06-29,-14,tier_2_top_5pct,True,True,1,1,18250.0,18250.0,0.0,18250.0
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-06-29,-14,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-06-29,-14,tier_4_observed_baseline,True,True,5,5,74707.587763,74707.587763,0.0,74707.587763
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-06-30,-13,tier_1_top_1pct,True,True,35,2,800295.989005,800295.989005,0.0,800295.989005
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-06-30,-13,tier_2_top_5pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-06-30,-13,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-06-30,-13,tier_4_observed_baseline,True,True,12,11,187158.542505,187158.542505,0.0,187158.542505
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-01,-12,tier_1_top_1pct,True,True,25,5,488164.210439,488164.210439,0.0,488164.210439
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-01,-12,tier_2_top_5pct,True,True,2,2,39802.84522,39802.84522,0.0,39802.84522
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-01,-12,tier_3_top_10pct,True,True,5,4,179110.3186,179110.3186,0.0,179110.3186
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-01,-12,tier_4_observed_baseline,True,True,8,7,127753.716659,127753.716659,0.0,127753.716659
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-02,-11,tier_1_top_1pct,True,True,27,4,398136.688474,398136.688474,0.0,398136.688474
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-02,-11,tier_2_top_5pct,True,True,3,2,33147.3263,33147.3263,0.0,33147.3263
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-02,-11,tier_3_top_10pct,True,True,2,1,37724.9502,37724.9502,0.0,37724.9502
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-02,-11,tier_4_observed_baseline,True,True,8,8,121570.634616,121570.634616,0.0,121570.634616
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-03,-10,tier_1_top_1pct,True,True,47,2,1096453.863829,1096453.863829,0.0,1096453.863829
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-03,-10,tier_2_top_5pct,True,True,11,7,179634.16999999998,179634.16999999998,0.0,179634.16999999998
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-03,-10,tier_3_top_10pct,True,True,4,2,57211.0,57211.0,0.0,57211.0
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-03,-10,tier_4_observed_baseline,True,True,13,11,217818.903998,217818.903998,0.0,217818.903998
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-04,-9,tier_1_top_1pct,True,True,20,2,295376.752054,295376.752054,0.0,295376.752054
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-04,-9,tier_2_top_5pct,True,True,1,1,19740.0,19740.0,0.0,19740.0
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-04,-9,tier_3_top_10pct,True,True,1,1,13981.149,13981.149,0.0,13981.149
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-04,-9,tier_4_observed_baseline,True,True,2,2,34005.7142,34005.7142,0.0,34005.7142
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-05,-8,tier_1_top_1pct,True,True,30,5,626068.51452,626068.51452,0.0,626068.51452
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-05,-8,tier_2_top_5pct,True,True,2,2,26010.90404,26010.90404,0.0,26010.90404
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-05,-8,tier_3_top_10pct,True,True,1,1,25600.0,25600.0,0.0,25600.0
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-05,-8,tier_4_observed_baseline,True,True,3,3,59736.35015,59736.35015,0.0,59736.35015
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-06,-7,tier_1_top_1pct,True,True,19,3,417434.343971,417434.343971,0.0,417434.343971
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-06,-7,tier_2_top_5pct,True,True,2,1,26570.0438,26570.0438,0.0,26570.0438
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-06,-7,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-06,-7,tier_4_observed_baseline,True,True,7,6,92640.58642,92640.58642,0.0,92640.58642
lead_minus_14d_to_0d,evt_2024_07_13_trump_shooting,2024-07-13,2024-07-07,-6,tier_1_top_1pct,True,True,22,2,744931.283298,744931.283298,0.0,744931.283298
